"序号","算法","来源","来源单位负责人","文件名","创建时间","修改时间","哈希值","文件大小","校验人","校验时间","校验人GPG公钥ID","校验人GPG密钥创建时间","获取公钥路径"
"1","SHA256","贵州省贵阳市云岩区人民法院档案室","该法院档案相关负责人及其管理人","000200-起诉书正本.jpg","2024年11月5日  10:38:38","2024年11月5日  10:38:38","F502B15E15C4814AD7780852EC5A54D51F69391733731B4A7C537A3F85E624AB","705.19 KB","王贵平","2025年8月18日  01:15:38","55A6823C7A7F5CF17C5557311ABAF6CC3118F4BD","2025年8月18日  00:00:03","https://github.com/deepseekfor20190120/deepseekfor20190120.github.io/blob/main/gpg_pub/%E7%8E%8B%E8%B4%B5%E5%B9%B3_0x3118F4BD_public.asc"
"2","SHA256","贵州省贵阳市云岩区人民法院档案室","该法院档案相关负责人及其管理人","000300-起诉书正本.jpg","2024年11月5日  10:38:38","2024年11月5日  10:38:38","883FDF65E522EB57B8B67F45E6C0805B311A16485D11A3A5970986C9382F3EDF","692.05 KB","王贵平","2025年8月18日  01:15:38","55A6823C7A7F5CF17C5557311ABAF6CC3118F4BD","2025年8月18日  00:00:03","https://github.com/deepseekfor20190120/deepseekfor20190120.github.io/blob/main/gpg_pub/%E7%8E%8B%E8%B4%B5%E5%B9%B3_0x3118F4BD_public.asc"
"3","SHA256","贵州省贵阳市云岩区人民法院档案室","该法院档案相关负责人及其管理人","000400-量刑建议书.jpg","2024年11月5日  10:38:38","2024年11月5日  10:38:38","352A5FA6DCDED4E6D9B8AE3E214DF36DB9C39FC19ECBE1B0DF6D8A8381039A0D","624.96 KB","王贵平","2025年8月18日  01:15:38","55A6823C7A7F5CF17C5557311ABAF6CC3118F4BD","2025年8月18日  00:00:03","https://github.com/deepseekfor20190120/deepseekfor20190120.github.io/blob/main/gpg_pub/%E7%8E%8B%E8%B4%B5%E5%B9%B3_0x3118F4BD_public.asc"
"4","SHA256","贵州省贵阳市云岩区人民法院档案室","该法院档案相关负责人及其管理人","000500-换押证.jpg","2024年11月5日  10:38:38","2024年11月5日  10:38:38","1F99E4705E1019BBD38D8ED8DC692774BDCD8AF74552D6EC59DC9D6D3E44BEA1","509.72 KB","王贵平","2025年8月18日  01:15:38","55A6823C7A7F5CF17C5557311ABAF6CC3118F4BD","2025年8月18日  00:00:03","https://github.com/deepseekfor20190120/deepseekfor20190120.github.io/blob/main/gpg_pub/%E7%8E%8B%E8%B4%B5%E5%B9%B3_0x3118F4BD_public.asc"
"5","SHA256","贵州省贵阳市云岩区人民法院档案室","该法院档案相关负责人及其管理人","000600-换押证.jpg","2024年11月5日  10:38:38","2024年11月5日  10:38:38","473F5916B5915A57060FAB8EB6F18ACAFC47B8B2E65ADD2F0E20AFBBE74A9FC9","524.36 KB","王贵平","2025年8月18日  01:15:38","55A6823C7A7F5CF17C5557311ABAF6CC3118F4BD","2025年8月18日  00:00:03","https://github.com/deepseekfor20190120/deepseekfor20190120.github.io/blob/main/gpg_pub/%E7%8E%8B%E8%B4%B5%E5%B9%B3_0x3118F4BD_public.asc"
"6","SHA256","贵州省贵阳市云岩区人民法院档案室","该法院档案相关负责人及其管理人","000700-换押证.jpg","2024年11月5日  10:38:38","2024年11月5日  10:38:38","4257FA1F5EE89F9D922732E54A692C6F713908C86EF093EDE21BB12C32BC6462","439.80 KB","王贵平","2025年8月18日  01:15:38","55A6823C7A7F5CF17C5557311ABAF6CC3118F4BD","2025年8月18日  00:00:03","https://github.com/deepseekfor20190120/deepseekfor20190120.github.io/blob/main/gpg_pub/%E7%8E%8B%E8%B4%B5%E5%B9%B3_0x3118F4BD_public.asc"
"7","SHA256","贵州省贵阳市云岩区人民法院档案室","该法院档案相关负责人及其管理人","000800-换押证.jpg","2024年11月5日  10:38:38","2024年11月5日  10:38:38","FB34FF56F95CB019720FE8F95230A9C5843E8813C4D64C39C26C6F9E6BC0DD1B","460.79 KB","王贵平","2025年8月18日  01:15:38","55A6823C7A7F5CF17C5557311ABAF6CC3118F4BD","2025年8月18日  00:00:03","https://github.com/deepseekfor20190120/deepseekfor20190120.github.io/blob/main/gpg_pub/%E7%8E%8B%E8%B4%B5%E5%B9%B3_0x3118F4BD_public.asc"
"8","SHA256","贵州省贵阳市云岩区人民法院档案室","该法院档案相关负责人及其管理人","000900-送达起诉书副本笔录.jpg","2024年11月5日  10:38:38","2024年11月5日  10:38:38","FEEADA431F37ED9683E98CF681BEFE1D6660C5FE00102A72E2C0832EFB780363","705.42 KB","王贵平","2025年8月18日  01:15:38","55A6823C7A7F5CF17C5557311ABAF6CC3118F4BD","2025年8月18日  00:00:03","https://github.com/deepseekfor20190120/deepseekfor20190120.github.io/blob/main/gpg_pub/%E7%8E%8B%E8%B4%B5%E5%B9%B3_0x3118F4BD_public.asc"
"9","SHA256","贵州省贵阳市云岩区人民法院档案室","该法院档案相关负责人及其管理人","001000-送达起诉书副本笔录.jpg","2024年11月5日  10:38:39","2024年11月5日  10:38:39","5EB04ABBE3C3FE93A018B78BE851DB5E80DC233BEE716429F221EA411F4706CC","679.00 KB","王贵平","2025年8月18日  01:15:38","55A6823C7A7F5CF17C5557311ABAF6CC3118F4BD","2025年8月18日  00:00:03","https://github.com/deepseekfor20190120/deepseekfor20190120.github.io/blob/main/gpg_pub/%E7%8E%8B%E8%B4%B5%E5%B9%B3_0x3118F4BD_public.asc"
"10","SHA256","贵州省贵阳市云岩区人民法院档案室","该法院档案相关负责人及其管理人","001100-送达起诉书副本笔录.jpg","2024年11月5日  10:38:39","2024年11月5日  10:38:39","5DF257DA8BDDCC909591A9C900CA62E9348DF24850355CA1B10D7E03EA1070EC","492.39 KB","王贵平","2025年8月18日  01:15:39","55A6823C7A7F5CF17C5557311ABAF6CC3118F4BD","2025年8月18日  00:00:03","https://github.com/deepseekfor20190120/deepseekfor20190120.github.io/blob/main/gpg_pub/%E7%8E%8B%E8%B4%B5%E5%B9%B3_0x3118F4BD_public.asc"
